mun_fr;mun_ar;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Belkhir;بلخیر;بلخير;Liste indépendante;Bilkhyr Almuahada;بلخیر الموحدة;514;0,214613779;4;7800;110;46;2395;2551
Belkhir;بلخیر;بلخير;Liste partisane;Machrouu Tounes;حركة مشروع تونس;179;0,07473904;1;7800;110;46;2395;2551
Belkhir;بلخیر;بلخير;Liste partisane;Nidaa Tounes;حركة نداء تونس;487;0,203340292;4;7800;110;46;2395;2551
Belkhir;بلخیر;بلخير;Liste partisane;Ennahdha;حزب حركة النھضة;959;0,400417537;7;7800;110;46;2395;2551
Beni Khalled;بني خلاد;بني خلاد;Liste indépendante;Al'Amal;الأمل;797;0,176561808;4;14529;189;77;4514;4780
Beni Khalled;بني خلاد;بني خلاد;Liste indépendante;Altamayoz;التمیز;210;0,046521932;1;14529;189;77;4514;4780
Beni Khalled;بني خلاد;بني خلاد;Liste de coalition;Front Populaire;الجبھة الشعبیة;243;0,053832521;1;14529;189;77;4514;4780
Beni Khalled;بني خلاد;بني خلاد;Liste indépendante;Taj Aldakhla;تاج الدخلة;908;0,201151972;5;14529;189;77;4514;4780
Beni Khalled;بني خلاد;بني خلاد;Liste partisane;Nidaa Tounes;حركة نداء تونس;962;0,213114754;5;14529;189;77;4514;4780
Beni Khalled;بني خلاد;بني خلاد;Liste partisane;Ennahdha;حزب حركة النھضة;906;0,200708906;5;14529;189;77;4514;4780
Beni Khalled;بني خلاد;بني خلاد;Liste indépendante;Ghadwat Khyr;غدوة خیر;488;0,108108108;3;14529;189;77;4514;4780
Beni M'tir;بني مطیر;بني مطير;Liste indépendante;Amal;أمل;117;0,102451839;1;2793;85;15;1142;1242
Beni M'tir;بني مطیر;بني مطير;Liste partisane;Nidaa Tounes;حركة نداء تونس;401;0,351138354;4;2793;85;15;1142;1242
Beni M'tir;بني مطیر;بني مطير;Liste partisane;Ennahdha;حزب حركة النھضة;377;0,330122592;4;2793;85;15;1142;1242
Beni M'tir;بني مطیر;بني مطير;Liste indépendante;Haqouna;حقنا;247;0,216287215;3;2793;85;15;1142;1242
Bir Ali Ben Khelifa;بئر علي بن خلیفة;بئر علي بن خليفة;Liste indépendante;Al'Amal;الأمل;1005;0,219480236;5;14157;151;53;4579;4783
Bir Ali Ben Khelifa;بئر علي بن خلیفة;بئر علي بن خليفة;Liste de coalition;Front Populaire;الجبھة الشعبیة;479;0,104607993;2;14157;151;53;4579;4783
Bir Ali Ben Khelifa;بئر علي بن خلیفة;بئر علي بن خليفة;Liste indépendante;Bayir Ealia Bin Khalifa;بئر علي بن خلیفة;518;0,113125136;3;14157;151;53;4579;4783
Bir Ali Ben Khelifa;بئر علي بن خلیفة;بئر علي بن خليفة;Liste partisane;Nidaa Tounes;حركة نداء تونس;712;0,155492466;4;14157;151;53;4579;4783
Bir Ali Ben Khelifa;بئر علي بن خلیفة;بئر علي بن خليفة;Liste partisane;Ennahdha;حزب حركة النھضة;1865;0,407294169;10;14157;151;53;4579;4783
Bir Lahmar;بئر الأحمر;بئر الأحمر;Liste indépendante;Albiir Al'Ahmar Awlan;البئر الاحمر اولا;153;0,103588355;1;3830;35;28;1477;1540
Bir Lahmar;بئر الأحمر;بئر الأحمر;Liste indépendante;Al Adala Al Tanmaweya;العدالة التنمویة;290;0,19634394;2;3830;35;28;1477;1540
Bir Lahmar;بئر الأحمر;بئر الأحمر;Liste indépendante;Almustaqila Lil Amal Albaladii Bil Biir Al'Ahmar;المستقلة للعمل البلدي بالبئر الأحمر;596;0,40352065;5;3830;35;28;1477;1540
Bir Lahmar;بئر الأحمر;بئر الأحمر;Liste partisane;Ennahdha;حزب حركة النھضة;438;0,296547055;4;3830;35;28;1477;1540
Bir M'chergua;بئر مشارقة;بئر مشارقة;Liste indépendante;Alsanbula;السنبلة;442;0,162082875;3;7220;91;58;2727;2876
Bir M'chergua;بئر مشارقة;بئر مشارقة;Liste indépendante;Bir Mchergua Tajamaena;بئر مشارقة تجمعنا;369;0,135313531;2;7220;91;58;2727;2876
Bir M'chergua;بئر مشارقة;بئر مشارقة;Liste indépendante;Harakat Aladl W Altanwir;حركة العدل و التنویر;252;0,092409241;2;7220;91;58;2727;2876
Bir M'chergua;بئر مشارقة;بئر مشارقة;Liste partisane;Nidaa Tounes;حركة نداء تونس;303;0,111111111;2;7220;91;58;2727;2876
Bir M'chergua;بئر مشارقة;بئر مشارقة;Liste partisane;Ennahdha;حزب حركة النھضة;631;0,231389806;4;7220;91;58;2727;2876
Bir M'chergua;بئر مشارقة;بئر مشارقة;Liste indépendante;Qitar Altnmya;قطار التنمیة;292;0,107077374;2;7220;91;58;2727;2876
Bir M'chergua;بئر مشارقة;بئر مشارقة;Liste indépendante;Mustaqbalina Biaydyna;مستقبلنا بأیدینا;438;0,160616062;3;7220;91;58;2727;2876
Borj El Amri;برج العامري;برج العامري;Liste partisane;Courant Démocrate;التیار الدمقراطي;455;0,172610015;3;9449;180;56;2636;2872
Borj El Amri;برج العامري;برج العامري;Liste partisane;Mouvement Du Peuple;حركة الشعب;152;0,057663126;1;9449;180;56;2636;2872
Borj El Amri;برج العامري;برج العامري;Liste partisane;Nidaa Tounes;حركة نداء تونس;1158;0,439301973;8;9449;180;56;2636;2872
Borj El Amri;برج العامري;برج العامري;Liste partisane;Ennahdha;حزب حركة النھضة;871;0,330424886;6;9449;180;56;2636;2872
Bou Arada;بوعرادة;بوعرادة;Liste partisane;Courant Démocrate;التیار الدمقراطي;259;0,082405345;2;9568;170;84;3143;3397
Bou Arada;بوعرادة;بوعرادة;Liste de coalition;Front Populaire;الجبھة الشعبیة;996;0,316894687;6;9568;170;84;3143;3397
Bou Arada;بوعرادة;بوعرادة;Liste indépendante;Bouarada Awlan;بوعرادة أولا;219;0,069678651;1;9568;170;84;3143;3397
Bou Arada;بوعرادة;بوعرادة;Liste partisane;Nidaa Tounes;حركة نداء تونس;727;0,231307668;4;9568;170;84;3143;3397
Bou Arada;بوعرادة;بوعرادة;Liste partisane;Ennahdha;حزب حركة النھضة;942;0,299713649;5;9568;170;84;3143;3397
Bou Argoub;بوعرقوب;بوعرقوب;Liste indépendante;Afaq Bouragoub;افاق بوعرقوب;338;0,0611654;1;16170;266;99;5526;5891
Bou Argoub;بوعرقوب;بوعرقوب;Liste indépendante;Al'Iiradat W Aleamal;الإرادة و العمل;1506;0,272529859;7;16170;266;99;5526;5891
Bou Argoub;بوعرقوب;بوعرقوب;Liste indépendante;Alaintilaqa;الانطلاقة;876;0,158523344;4;16170;266;99;5526;5891
Bou Argoub;بوعرقوب;بوعرقوب;Liste de coalition;Front Populaire;الجبھة الشعبیة;342;0,061889251;1;16170;266;99;5526;5891
Bou Argoub;بوعرقوب;بوعرقوب;Liste partisane;Nidaa Tounes;حركة نداء تونس;1376;0,249004705;6;16170;266;99;5526;5891
Bou Argoub;بوعرقوب;بوعرقوب;Liste partisane;Ennahdha;حزب حركة النھضة;1088;0,196887441;5;16170;266;99;5526;5891
Bou Salem;بوسالم;بوسالم;Liste indépendante;Al'Amal;الأمل;650;0,106157113;3;20587;375;104;6123;6602
Bou Salem;بوسالم;بوسالم;Liste de coalition;Front Populaire;الجبھة الشعبیة;355;0,057978115;1;20587;375;104;6123;6602
Bou Salem;بوسالم;بوسالم;Liste indépendante;Alqayimat Almustaqila Alsubula Ridhaa Al Dallagi;القائمة المستقلة السبولة رضا الدلاجي;1874;0,306059121;7;20587;375;104;6123;6602
Bou Salem;بوسالم;بوسالم;Liste partisane;Nidaa Tounes;حركة نداء تونس;1763;0,287930753;7;20587;375;104;6123;6602
Bou Salem;بوسالم;بوسالم;Liste partisane;Ennahdha;حزب حركة النھضة;1481;0,241874898;6;20587;375;104;6123;6602
Bouchemma;بوشمة;بوشمة;Liste indépendante;Altahadiy;التحدي;236;0,102031993;2;6133;80;44;2313;2437
Bouchemma;بوشمة;بوشمة;Liste indépendante;Alwifaq;الوفاق;321;0,138780804;2;6133;80;44;2313;2437
Bouchemma;بوشمة;بوشمة;Liste indépendante;Bushimat Yd Wahda;بوشمة ید وحدة;234;0,101167315;2;6133;80;44;2313;2437
Bouchemma;بوشمة;بوشمة;Liste partisane;AL IRADA;حراك تونس الارادة;452;0,195417207;4;6133;80;44;2313;2437
Bouchemma;بوشمة;بوشمة;Liste partisane;Nidaa Tounes;حركة نداء تونس;245;0,105923044;2;6133;80;44;2313;2437
Bouchemma;بوشمة;بوشمة;Liste partisane;Ennahdha;حزب حركة النھضة;825;0,356679637;6;6133;80;44;2313;2437
Bouficha;بوفیشة;بوفيشة;Liste partisane;Courant Démocrate;التیار الدمقراطي;471;0,075444498;2;12531;283;109;6243;6635
Bouficha;بوفیشة;بوفيشة;Liste indépendante;Aleamal Almustaqila;العمل المستقلة;486;0,077847189;2;12531;283;109;6243;6635
Bouficha;بوفیشة;بوفيشة;Liste indépendante;Bouficha;بوفیشة;209;0,033477495;1;12531;283;109;6243;6635
Bouficha;بوفیشة;بوفيشة;Liste indépendante;Bouficha Al'Amal;بوفیشة الأمل;880;0,140957873;3;12531;283;109;6243;6635
Bouficha;بوفیشة;بوفيشة;Liste partisane;Nidaa Tounes;حركة نداء تونس;2052;0,328688131;8;12531;283;109;6243;6635
Bouficha;بوفیشة;بوفيشة;Liste partisane;Ennahdha;حزب حركة النھضة;2009;0,321800416;8;12531;283;109;6243;6635
Bouficha;بوفیشة;بوفيشة;Liste indépendante;Klna Tawansa;كلنا توانسة;136;0,021784399;0;12531;283;109;6243;6635
Bouhajla;بوحجلة;بوحجلة;Liste indépendante;Alaitilaf Almadani Almustaqil Bibouhajla;الاتلاف المدني المستقل ببوحجلة;615;0,095319281;3;23521;306;81;6452;6839
Bouhajla;بوحجلة;بوحجلة;Liste indépendante;Al'Iirada;الارادة;1039;0,161035338;5;23521;306;81;6452;6839
Bouhajla;بوحجلة;بوحجلة;Liste de coalition;Front Populaire;الجبھة الشعبیة;796;0,123372598;4;23521;306;81;6452;6839
Bouhajla;بوحجلة;بوحجلة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1412;0,218846869;6;23521;306;81;6452;6839
Bouhajla;بوحجلة;بوحجلة;Liste partisane;Ennahdha;حزب حركة النھضة;1872;0,290142591;9;23521;306;81;6452;6839
Bouhajla;بوحجلة;بوحجلة;Liste indépendante;Rada Al'Ietibar;رد الإعتبار;718;0,111283323;3;23521;306;81;6452;6839
Boumerdes;بومرداس;بومرداس;Liste partisane;Afek Tounes;أفاق تونس;616;0,156782896;3;7255;133;52;3929;4114
Boumerdes;بومرداس;بومرداس;Liste indépendante;Al'Amal;الأمل;183;0,046576737;1;7255;133;52;3929;4114
Boumerdes;بومرداس;بومرداس;Liste indépendante;Altaaayosh;التعایش;622;0,158310003;3;7255;133;52;3929;4114
Boumerdes;بومرداس;بومرداس;Liste indépendante;Altaqadum;التقدم;288;0,073301094;1;7255;133;52;3929;4114
Boumerdes;بومرداس;بومرداس;Liste indépendante;Aljamal;الجمل;370;0,094171545;2;7255;133;52;3929;4114
Boumerdes;بومرداس;بومرداس;Liste partisane;Nidaa Tounes;حركة نداء تونس;526;0,133876304;2;7255;133;52;3929;4114
Boumerdes;بومرداس;بومرداس;Liste partisane;Ennahdha;حزب حركة النھضة;486;0,123695597;2;7255;133;52;3929;4114
Boumerdes;بومرداس;بومرداس;Liste indépendante;Ryf Almadyna;ریف المدینة;343;0,087299567;2;7255;133;52;3929;4114
Boumerdes;بومرداس;بومرداس;Liste indépendante;Kolna Boumirdas;كلنا بومرداس;495;0,125986256;2;7255;133;52;3929;4114
Bourouis;بورویس;بورويس;Liste partisane;Afek Tounes;أفاق تونس;143;0,050655331;1;6659;136;130;2823;3089
Bourouis;بورویس;بورويس;Liste indépendante;Al'Amal;الامل;715;0,253276656;4;6659;136;130;2823;3089
Bourouis;بورویس;بورويس;Liste de coalition;Front Populaire;الجبھة الشعبیة;613;0,217144881;4;6659;136;130;2823;3089
Bourouis;بورویس;بورويس;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;129;0,045696068;1;6659;136;130;2823;3089
Bourouis;بورویس;بورويس;Liste partisane;Nidaa Tounes;حركة نداء تونس;627;0,222104145;4;6659;136;130;2823;3089
Bourouis;بورویس;بورويس;Liste partisane;Ennahdha;حزب حركة النھضة;596;0,211122919;4;6659;136;130;2823;3089
Bouzguam;بوزقام;بوزقام;Liste indépendante;Alsonboula;السنبلة;1510;0,406241593;7;7039;130;71;3717;3918
Bouzguam;بوزقام;بوزقام;Liste indépendante;Amal;أمل;212;0,057035243;1;7039;130;71;3717;3918
Bouzguam;بوزقام;بوزقام;Liste partisane;Nidaa Tounes;حركة نداء تونس;132;0,03551251;1;7039;130;71;3717;3918
Bouzguam;بوزقام;بوزقام;Liste partisane;Ennahdha;حزب حركة النھضة;433;0,116491794;2;7039;130;71;3717;3918
Bouzguam;بوزقام;بوزقام;Liste indépendante;Qayimat Alaimtyaz;قائمة الامتیاز;1430;0,384718859;7;7039;130;71;3717;3918
Carthage;قرطاج;قرطاج;Liste partisane;Ajyal;الاجیال;859;0,159813953;3;15743;171;131;5375;5677
Carthage;قرطاج;قرطاج;Liste partisane;Nidaa Tounes;حركة نداء تونس;1185;0,220465116;4;15743;171;131;5375;5677
Carthage;قرطاج;قرطاج;Liste partisane;Ennahdha;حزب حركة النھضة;892;0,165953488;3;15743;171;131;5375;5677
Carthage;قرطاج;قرطاج;Liste indépendante;Hamat Carthage;حماة قرطاج;1047;0,194790698;3;15743;171;131;5375;5677
Carthage;قرطاج;قرطاج;Liste indépendante;Carthage Alhuriya;قرطاج الحرية;505;0,093953488;2;15743;171;131;5375;5677
Carthage;قرطاج;قرطاج;Liste indépendante;Carthage Janna;قرطاج جنة;887;0,165023256;3;15743;171;131;5375;5677
Chaouachi;شواشي;شواشي;Liste indépendante;Ithad Al'Ahrar;إتحاد الأحرار;193;0,094886922;2;5833;197;51;2034;2282
Chaouachi;شواشي;شواشي;Liste partisane;Machrouu Tounes;حركة مشروع تونس;582;0,286135693;5;5833;197;51;2034;2282
Chaouachi;شواشي;شواشي;Liste partisane;Nidaa Tounes;حركة نداء تونس;506;0,248770895;4;5833;197;51;2034;2282
Chaouachi;شواشي;شواشي;Liste partisane;Ennahdha;حزب حركة النھضة;753;0,37020649;7;5833;197;51;2034;2282
Charaê - Machrek Echems;الشرائع مشرق الشمس;الشرائع - مشرق الشمس;Liste indépendante;Al Intima' Lilardh;الانتماء للارض;303;0,069751381;1;11743;224;95;4344;4663
Charaê - Machrek Echems;الشرائع مشرق الشمس;الشرائع - مشرق الشمس;Liste partisane;Parti Socialiste;الحزب الاشتراكي;151;0,034760589;1;11743;224;95;4344;4663
Charaê - Machrek Echems;الشرائع مشرق الشمس;الشرائع - مشرق الشمس;Liste indépendante;Alwafa;الوفاء;1173;0,270027624;5;11743;224;95;4344;4663
Charaê - Machrek Echems;الشرائع مشرق الشمس;الشرائع - مشرق الشمس;Liste partisane;Nidaa Tounes;حركة نداء تونس;843;0,194060773;3;11743;224;95;4344;4663
Charaê - Machrek Echems;الشرائع مشرق الشمس;الشرائع - مشرق الشمس;Liste partisane;Ennahdha;حزب حركة النھضة;1092;0,251381215;5;11743;224;95;4344;4663
Charaê - Machrek Echems;الشرائع مشرق الشمس;الشرائع - مشرق الشمس;Liste indépendante;Qayimat Alzzytouna;قائمة الزیتونة;538;0,123848987;2;11743;224;95;4344;4663
Charaê - Machrek Echems;الشرائع مشرق الشمس;الشرائع - مشرق الشمس;Liste indépendante;Qayimat Muwatin Almustaqila Min Ajl Ghad 'Afdhal;قائمة مواطن المستقلة من أجل غد أفضل;244;0,056169429;1;11743;224;95;4344;4663
Chebba;الشابة;الشابة;Liste indépendante;Uhibou Alshaba;أحب الشابة;365;0,047230849;1;16689;231;115;7728;8074
Chebba;الشابة;الشابة;Liste indépendante;Al Irtiqa' Bil Aamal Albaladii Bi Alshaba;الارتقاء بالعمل البلدي بالشابة;2113;0,273421325;7;16689;231;115;7728;8074
Chebba;الشابة;الشابة;Liste indépendante;Al'Asala;الأصالة;265;0,03429089;1;16689;231;115;7728;8074
Chebba;الشابة;الشابة;Liste indépendante;Al'Iinqadh;الانقاذ;377;0,048783644;1;16689;231;115;7728;8074
Chebba;الشابة;الشابة;Liste partisane;Courant Démocrate;التیار الدمقراطي;595;0,076992754;2;16689;231;115;7728;8074
Chebba;الشابة;الشابة;Liste de coalition;Front Populaire;الجبھة الشعبیة;888;0,114906832;3;16689;231;115;7728;8074
Chebba;الشابة;الشابة;Liste indépendante;Alshaba Bykum 'Ashab;الشابة بیكم أشب;806;0,104296066;3;16689;231;115;7728;8074
Chebba;الشابة;الشابة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;185;0,023938923;0;16689;231;115;7728;8074
Chebba;الشابة;الشابة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1381;0,178700828;4;16689;231;115;7728;8074
Chebba;الشابة;الشابة;Liste partisane;Ennahdha;حزب حركة النھضة;753;0,097437888;2;16689;231;115;7728;8074
Chebika;الشبیكة;الشبيكة;Liste indépendante;Alwifaq;الوفاق;713;0,183431953;3;8827;269;68;3887;4224
Chebika;الشبیكة;الشبيكة;Liste indépendante;Amal Alshbika;أمل الشبیكة;319;0,082068433;1;8827;269;68;3887;4224
Chebika;الشبیكة;الشبيكة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;570;0,146642655;3;8827;269;68;3887;4224
Chebika;الشبیكة;الشبيكة;Liste partisane;Nidaa Tounes;حركة نداء تونس;849;0,218420376;4;8827;269;68;3887;4224
Chebika;الشبیكة;الشبيكة;Liste partisane;Ennahdha;حزب حركة النھضة;1436;0,369436583;7;8827;269;68;3887;4224
Chenini Nahal;شنني نحال;شنني - نحال;Liste partisane;Courant Démocrate;التیار الدمقراطي;744;0,271433783;5;9987;102;65;2741;2908
Chenini Nahal;شنني نحال;شنني - نحال;Liste indépendante;Alqayimat Almustaqilat Sharakata...Wahada...Biyya;القائمة المستقلة شراكة...وحدة...بیئة;740;0,269974462;5;9987;102;65;2741;2908
Chenini Nahal;شنني نحال;شنني - نحال;Liste partisane;Ennahdha;حزب حركة النھضة;1257;0,458591755;8;9987;102;65;2741;2908
Cheraitia ksour;الشرایطیة القصور;الشرايطية - القصور;Liste partisane;Nidaa Tounes;حركة نداء تونس;840;0,538461538;10;4864;131;51;1560;1742
Cheraitia ksour;الشرایطیة القصور;الشرايطية - القصور;Liste partisane;Ennahdha;حزب حركة النھضة;720;0,461538462;8;4864;131;51;1560;1742
Chihia;شیحیة;شيحية;Liste partisane;Courant Démocrate;التیار الدمقراطي;3049;0,395050531;10;20091;184;115;7718;8017
Chihia;شیحیة;شيحية;Liste partisane;Machrouu Tounes;حركة مشروع تونس;610;0,07903602;2;20091;184;115;7718;8017
Chihia;شیحیة;شيحية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1104;0,143042239;3;20091;184;115;7718;8017
Chihia;شیحیة;شيحية;Liste partisane;Ennahdha;حزب حركة النھضة;2955;0,38287121;9;20091;184;115;7718;8017
Chorbane;شربان;شربان;Liste partisane;Afek Tounes;أفاق تونس;772;0,18071161;4;11395;296;110;4272;4678
Chorbane;شربان;شربان;Liste indépendante;Aljyl Aljadyd Libladyat Shrban;الجیل الجدید لبلدیة شربان;435;0,101825843;3;11395;296;110;4272;4678
Chorbane;شربان;شربان;Liste partisane;Nidaa Tounes;حركة نداء تونس;1424;0,333333333;8;11395;296;110;4272;4678
Chorbane;شربان;شربان;Liste partisane;Ennahdha;حزب حركة النھضة;1641;0,384129213;9;11395;296;110;4272;4678
